No.,Topic,Source,Question,Choices,Answer,Explanation,Difficulty
15,AI,SanFoundry,Which technique improves search efficiency in large spaces?,"a) Random Search, b) Beam Search, c) Linear Search, d) Binary Search",b,"Beam Search limits the number of paths explored, balancing efficiency and accuracy.",
16,AI,SanFoundry,What is a perceptron in AI?,"a) A clustering algorithm, b) A neural unit, c) A search method, d) A database structure",b,"A perceptron is a basic unit of a neural network, modeling a single neuron.",
17,AI,SanFoundry,What does pruning mean in decision trees?,"a) Adding nodes, b) Removing branches, c) Training model, d) Storing data",b,Pruning removes branches to prevent overfitting and simplify the tree.,
18,AI,SanFoundry,Which of these is a probabilistic model?,"a) Naive Bayes, b) SVM, c) Neural Network, d) Decision Tree",a,Naive Bayes uses probability to classify based on Bayes' theorem.,
19,AI,SanFoundry,What is the main advantage of genetic algorithms?,"a) Speed, b) Global optimization, c) Simplicity, d) Memory usage",b,They search for global optima by mimicking natural evolution.,
20,AI,SanFoundry,What does A* algorithm guarantee if the heuristic is admissible?,"a) Fastest runtime, b) Optimal solution, c) Minimal memory, d) No solution",b,An admissible heuristic ensures A* finds the shortest path to the goal.,
21,AI,SanFoundry,Which is a common application of NLP?,"a) Image segmentation, b) Sentiment analysis, c) Pathfinding, d) Sorting",b,Sentiment analysis uses NLP to determine emotions or opinions in text.,
22,AI,SanFoundry,What is the Bellman equation used for?,"a) Clustering, b) Dynamic programming, c) Gradient descent, d) Feature extraction",b,It defines the value of a state in terms of future rewards in reinforcement learning.,
23,AI,SanFoundry,What is the role of an activation function in neural networks?,"a) Normalize data, b) Introduce nonlinearity, c) Reduce dimensions, d) Store weights",b,It allows neural networks to model complex patterns by introducing nonlinearity.,
24,AI,SanFoundry,Which algorithm is used for pathfinding in AI?,"a) K-Means, b) Dijkstra’s, c) SVM, d) Linear Regression",b,"Dijkstra’s finds the shortest path in a graph, widely used in pathfinding.",
25,AI,SanFoundry,What is the purpose of tokenization in NLP?,"a) Encrypt data, b) Split text into units, c) Train models, d) Reduce noise",b,"Tokenization breaks text into smaller units (e.g., words) for processing.",
26,AI,SanFoundry,Which of these is a supervised learning algorithm?,"a) K-Means, b) PCA, c) SVM, d) DBSCAN",c,SVM uses labeled data to classify or predict outcomes.,
27,AI,SanFoundry,What is the exploration-exploitation trade-off in RL?,"a) Speed vs accuracy, b) Trying new vs using known, c) Data vs model, d) Cost vs benefit",b,It balances exploring new actions and exploiting known rewards.,
28,AI,SanFoundry,Which technique reduces dimensionality in data?,"a) PCA, b) SVM, c) Gradient Boosting, d) Minimax",a,"PCA reduces features while preserving variance, aiding in data analysis.",
29,AI,SanFoundry,What is the purpose of a reward function in RL?,"a) Define goals, b) Normalize data, c) Reduce noise, d) Speed up learning",a,It specifies what the agent should achieve by assigning values to actions.,
30,AI,SanFoundry,Which of these is a generative AI model?,"a) SVM, b) GAN, c) Decision Tree, d) K-Means",b,GANs (Generative Adversarial Networks) generate new data similar to the training set.,
31,Machine Learning,SanFoundry,What does cross-validation assess?,"a) Model speed, b) Model generalization, c) Data size, d) Feature importance",b,It evaluates how well a model performs on unseen data by splitting the dataset.,
32,Machine Learning,SanFoundry,What is the purpose of a confusion matrix?,"a) Feature selection, b) Performance evaluation, c) Data cleaning, d) Model training",b,"It summarizes classification performance with true positives, negatives, etc.",
33,Machine Learning,SanFoundry,Which metric is used for imbalanced datasets?,"a) Accuracy, b) F1 Score, c) R², d) MSE",b,"F1 Score balances precision and recall, suitable for imbalanced classes.",
34,Machine Learning,SanFoundry,What does L1 regularization promote?,"a) Dense models, b) Sparsity, c) Faster training, d) Higher accuracy",b,"L1 adds absolute values of coefficients, encouraging sparse models.",
35,Machine Learning,SanFoundry,What is bagging in ensemble methods?,"a) Boosting samples, b) Averaging models, c) Reducing variance, d) Increasing bias",c,Bagging reduces variance by training models on random subsets and averaging predictions.,
36,Machine Learning,SanFoundry,Which algorithm uses boosting?,"a) Random Forest, b) AdaBoost, c) K-Means, d) SVM",b,AdaBoost iteratively improves weak learners by focusing on misclassified data.,
37,Machine Learning,SanFoundry,What is the bias-variance trade-off?,"a) Speed vs accuracy, b) Simplicity vs flexibility, c) Data vs model, d) Cost vs benefit",b,It balances underfitting (high bias) and overfitting (high variance) in models.,
38,Machine Learning,SanFoundry,What does gradient descent optimize?,"a) Features, b) Loss function, c) Data size, d) Model speed",b,It minimizes the loss function by adjusting model parameters iteratively.,
39,Machine Learning,SanFoundry,Which of these is a hyperparameter?,"a) Weight, b) Learning rate, c) Bias, d) Output",b,"Learning rate is set before training, unlike weights or biases learned during training.",
40,Machine Learning,SanFoundry,What is the purpose of feature scaling?,"a) Reduce noise, b) Normalize data, c) Increase accuracy, d) Speed up search",b,"It ensures features are on the same scale, improving convergence in algorithms like SVM.",
41,Machine Learning,SanFoundry,What does ROC curve evaluate?,"a) Regression error, b) Classification performance, c) Clustering quality, d) Model speed",b,It plots true positive rate vs false positive rate to assess classifier performance.,
42,Machine Learning,SanFoundry,Which method reduces overfitting?,"a) More features, b) Regularization, c) Larger model, d) More data",b,"Regularization penalizes complexity, preventing the model from fitting noise.",
43,Machine Learning,SanFoundry,What is the purpose of a validation set?,"a) Train model, b) Tune hyperparameters, c) Test accuracy, d) Store data",b,It’s used to adjust hyperparameters and prevent overfitting during training.,
44,Machine Learning,SanFoundry,Which algorithm is sensitive to outliers?,"a) SVM, b) K-Means, c) Random Forest, d) Naive Bayes",b,"K-Means relies on means, making it sensitive to outliers affecting cluster centers.",
45,Machine Learning,SanFoundry,What does precision measure?,"a) True positives over all positives, b) True positives over actual positives, c) Error rate, d) Speed",a,Precision is the ratio of true positives to all predicted positives.,
46,Machine Learning,SanFoundry,What is the purpose of k-fold cross-validation?,"a) Increase speed, b) Reduce bias, c) Split data, d) Evaluate model",d,"It assesses model performance by dividing data into k subsets, training and testing on each.",
47,Machine Learning,SanFoundry,Which technique handles missing data?,"a) Imputation, b) Normalization, c) Pruning, d) Boosting",a,Imputation fills in missing values with estimates like mean or median.,
48,Machine Learning,SanFoundry,What does SVM maximize?,"a) Margin, b) Accuracy, c) Speed, d) Features",a,SVM maximizes the margin between classes for better separation.,
49,Machine Learning,SanFoundry,What is the role of a kernel in SVM?,"a) Reduce dimensions, b) Transform data, c) Train faster, d) Store weights",b,Kernels transform data into higher dimensions to make it linearly separable.,
50,Machine Learning,SanFoundry,Which method combines multiple weak learners?,"a) Bagging, b) Stacking, c) PCA, d) K-Means",b,Stacking combines predictions from multiple models to improve accuracy.,
51,Machine Learning,SanFoundry,What does early stopping prevent?,"a) Underfitting, b) Overfitting, c) Slow training, d) Data loss",b,"It stops training when validation performance degrades, avoiding overfitting.",
52,Machine Learning,SanFoundry,Which algorithm is best for text classification?,"a) K-Means, b) Naive Bayes, c) PCA, d) Gradient Descent",b,Naive Bayes excels in text classification due to its probabilistic nature and simplicity.,
53,Machine Learning,SanFoundry,What is the purpose of a loss function?,"a) Measure error, b) Speed up training, c) Reduce features, d) Store data",a,It quantifies the difference between predicted and actual values for optimization.,
54,Machine Learning,SanFoundry,Which technique improves model interpretability?,"a) Decision Tree, b) Neural Network, c) SVM, d) K-Means",a,"Decision Trees provide clear rules for decisions, enhancing interpretability.",
55,Machine Learning,SanFoundry,What does AUC stand for in ROC analysis?,"a) Area Under Curve, b) Accuracy Under Curve, c) Average Unit Cost, d) Adjusted Utility Count",a,"AUC measures the area under the ROC curve, indicating classifier performance.",
56,Machine Learning,SanFoundry,Which method is used for feature selection?,"a) Lasso, b) PCA, c) SVM, d) K-Means",a,Lasso (L1 regularization) selects features by shrinking less important ones to zero.,
57,Machine Learning,SanFoundry,What is the purpose of dropout in neural networks?,"a) Speed up training, b) Reduce overfitting, c) Increase accuracy, d) Normalize data",b,Dropout randomly disables neurons during training to prevent overfitting.,
58,Machine Learning,SanFoundry,Which algorithm is used for anomaly detection?,"a) Isolation Forest, b) SVM, c) Linear Regression, d) Decision Tree",a,"Isolation Forest isolates anomalies by randomly partitioning data, effective for detection.",
59,Machine Learning,SanFoundry,What does a high variance model indicate?,"a) Underfitting, b) Overfitting, c) Stability, d) Speed",b,"High variance means the model is too sensitive to training data, leading to overfitting.",
60,Machine Learning,SanFoundry,Which technique improves gradient descent convergence?,"a) Momentum, b) PCA, c) Bagging, d) Pruning",a,Momentum accelerates gradient descent by adding past gradients to the update step.,
61,Machine Learning,SanFoundry,What is the purpose of a learning rate?,"a) Control step size, b) Reduce features, c) Speed up search, d) Store weights",a,It determines the size of steps taken during gradient descent optimization.,
62,Machine Learning,SanFoundry,Which metric evaluates regression models?,"a) F1 Score, b) MSE, c) Precision, d) Recall",b,Mean Squared Error (MSE) measures the average squared difference between predictions and actual.,
63,Machine Learning,SanFoundry,What does XGBoost use to improve performance?,"a) Gradient boosting, b) Bagging, c) PCA, d) K-Means",a,XGBoost uses gradient boosting with regularization for better accuracy and speed.,
64,Machine Learning,SanFoundry,Which method reduces model complexity?,"a) More layers, b) Regularization, c) More data, d) Faster training",b,Regularization adds penalties to prevent overly complex models.,
65,Machine Learning,SanFoundry,What is the purpose of a test set?,"a) Train model, b) Tune parameters, c) Evaluate performance, d) Store data",c,It assesses the final model performance on unseen data.,
66,Machine Learning,SanFoundry,Which algorithm handles non-linear data?,"a) Linear Regression, b) SVM with kernel, c) K-Means, d) Naive Bayes",b,SVM with a kernel transforms data to handle non-linear relationships.,
67,Machine Learning,SanFoundry,What does recall measure?,"a) True positives over predicted, b) True positives over actual, c) Error rate, d) Speed",b,"Recall is the ratio of true positives to all actual positives, measuring completeness.",
68,Machine Learning,SanFoundry,Which technique balances precision and recall?,"a) F1 Score, b) Accuracy, c) MSE, d) AUC",a,"F1 Score is the harmonic mean of precision and recall, balancing both.",
69,Machine Learning,SanFoundry,What is the purpose of batch normalization?,"a) Reduce overfitting, b) Stabilize training, c) Increase speed, d) Normalize features",b,"It normalizes layer inputs, stabilizing and accelerating training.",
70,Machine Learning,SanFoundry,Which algorithm is best for large datasets?,"a) SVM, b) Random Forest, c) K-Means, d) Gradient Boosting",b,Random Forest scales well with large datasets due to parallel tree training.,
71,Deep Learning,SanFoundry,What is the purpose of a convolutional layer in CNNs?,"a) Reduce dimensions, b) Extract features, c) Normalize data, d) Speed up training",b,It applies filters to extract spatial features like edges from images.,
72,Deep Learning,SanFoundry,Which activation function is commonly used in hidden layers?,"a) Sigmoid, b) ReLU, c) Linear, d) Softmax",b,ReLU (Rectified Linear Unit) is fast and prevents vanishing gradients in deep networks.,
73,Deep Learning,SanFoundry,What does pooling do in a CNN?,"a) Increase size, b) Reduce size, c) Add features, d) Normalize weights",b,"Pooling (e.g., max pooling) reduces spatial dimensions while retaining important features.",
74,Deep Learning,SanFoundry,What is the vanishing gradient problem?,"a) Gradients grow too large, b) Gradients become too small, c) Model overfits, d) Slow training",b,"Small gradients in deep networks hinder weight updates, slowing learning.",
75,Deep Learning,SanFoundry,Which architecture is used for sequence data?,"a) CNN, b) RNN, c) GAN, d) Transformer",b,RNNs (Recurrent Neural Networks) process sequential data by maintaining memory of past inputs.,
76,Deep Learning,SanFoundry,What is the role of a fully connected layer?,"a) Extract features, b) Classify data, c) Reduce size, d) Normalize inputs",b,It combines features learned by previous layers for final classification or prediction.,
77,Deep Learning,SanFoundry,Which technique prevents overfitting in deep networks?,"a) Dropout, b) More layers, c) Faster training, d) Larger dataset",a,"Dropout randomly deactivates neurons, reducing reliance on specific paths.",
78,Deep Learning,SanFoundry,What does LSTM stand for?,"a) Linear System Training Model, b) Long Short-Term Memory, c) Layered Standard Model, d) None",b,LSTMs are RNN variants that handle long-term dependencies in sequences.,
79,Deep Learning,SanFoundry,Which optimizer is commonly used in deep learning?,"a) Gradient Descent, b) Adam, c) Newton’s Method, d) BFS",b,Adam combines momentum and RMSProp for efficient and adaptive optimization.,
80,Deep Learning,SanFoundry,What is the purpose of a softmax layer?,"a) Reduce dimensions, b) Normalize outputs, c) Extract features, d) Speed up training",b,Softmax converts logits into probabilities for multi-class classification.,
81,Deep Learning,SanFoundry,Which architecture is used for generative tasks?,"a) CNN, b) RNN, c) GAN, d) Transformer",c,GANs generate new data by pitting a generator against a discriminator.,
82,Deep Learning,SanFoundry,What does batch normalization do?,"a) Reduce overfitting, b) Stabilize training, c) Increase speed, d) Normalize features",b,"It normalizes layer inputs, stabilizing and accelerating training.",
83,Deep Learning,SanFoundry,Which layer type is used for image processing?,"a) Dense, b) Convolutional, c) Recurrent, d) Embedding",b,Convolutional layers extract spatial features from images using filters.,
84,Deep Learning,SanFoundry,What is the role of backpropagation?,"a) Forward pass, b) Update weights, c) Reduce size, d) Normalize data",b,It calculates gradients to update weights by propagating errors backward.,
85,Deep Learning,SanFoundry,Which technique improves RNN performance?,"a) Dropout, b) LSTM, c) Pooling, d) Bagging",b,LSTMs improve RNNs by addressing vanishing gradients and capturing long-term dependencies.,
86,Deep Learning,SanFoundry,What is a transformer model used for?,"a) Image processing, b) Sequence processing, c) Clustering, d) Regression",b,Transformers excel in sequence tasks like NLP using self-attention mechanisms.,
87,Deep Learning,SanFoundry,What does the attention mechanism do?,"a) Reduce size, b) Focus on important parts, c) Normalize data, d) Speed up training",b,"It weights relevant parts of input data, improving focus in tasks like translation.",
88,Deep Learning,SanFoundry,Which loss function is used for binary classification?,"a) MSE, b) Cross-Entropy, c) Hinge Loss, d) L1 Loss",b,Cross-Entropy measures the difference between predicted and actual probabilities.,
89,Deep Learning,SanFoundry,What is the purpose of data augmentation?,"a) Reduce size, b) Increase variety, c) Speed up training, d) Normalize weights",b,"It artificially increases training data variety (e.g., rotating images) to improve robustness.",
90,Deep Learning,SanFoundry,Which architecture is best for real-time object detection?,"a) YOLO, b) RNN, c) GAN, d) Transformer",a,YOLO (You Only Look Once) is fast and accurate for real-time object detection.,
91,Deep Learning,SanFoundry,What does transfer learning involve?,"a) Training from scratch, b) Using pre-trained models, c) Reducing layers, d) Normalizing data",b,"It leverages pre-trained models, fine-tuning them for specific tasks to save time.",
92,Deep Learning,SanFoundry,Which layer reduces overfitting in CNNs?,"a) Dropout, b) Dense, c) Convolutional, d) Pooling",a,"Dropout randomly drops neurons, preventing over-reliance on specific features.",
93,Deep Learning,SanFoundry,What is the purpose of an encoder in autoencoders?,"a) Generate data, b) Compress data, c) Classify data, d) Normalize inputs",b,The encoder compresses input data into a lower-dimensional representation.,
94,Deep Learning,SanFoundry,Which technique handles exploding gradients?,"a) Gradient clipping, b) Dropout, c) Pooling, d) Bagging",a,Gradient clipping limits gradient values to prevent instability during training.,
95,Deep Learning,SanFoundry,What does a decoder do in a GAN?,"a) Discriminate data, b) Generate data, c) Reduce size, d) Normalize weights",b,The decoder (generator) creates new data samples from random noise.,
96,Deep Learning,SanFoundry,Which model is used for language generation?,"a) CNN, b) Transformer, c) SVM, d) K-Means",b,"Transformers, like GPT, excel in generating coherent text using attention mechanisms.",
97,Deep Learning,SanFoundry,What is the role of a residual connection?,"a) Reduce size, b) Ease training, c) Normalize data, d) Speed up inference",b,"Residual connections skip layers, helping gradients flow in deep networks.",
98,Deep Learning,SanFoundry,Which optimizer adapts learning rates?,"a) SGD, b) Adam, c) Momentum, d) RMSProp",b,Adam adjusts learning rates using moving averages of gradients and squared gradients.,
99,Deep Learning,SanFoundry,What does fine-tuning do in deep learning?,"a) Train from scratch, b) Adjust pre-trained model, c) Reduce layers, d) Normalize data",b,"It tweaks a pre-trained model for a specific task, improving performance efficiently.",
100,Deep Learning,SanFoundry,Which architecture is used for speech recognition?,"a) CNN, b) RNN, c) GAN, d) Transformer",b,"RNNs process sequential audio data, capturing temporal dependencies for speech recognition.",
101,Python,SanFoundry,What is the output of print(type([]))?,"a) <class 'int'>, b) <class 'list'>, c) <class 'str'>, d) <class 'dict'>",b,The type() function returns <class 'list'> for an empty list.,
102,Python,SanFoundry,Which keyword defines a function in Python?,"a) func, b) def, c) function, d) lambda",b,def is used to define a function in Python.,
103,Python,SanFoundry,What does the len() function return?,"a) Type, b) Length, c) Value, d) Index",b,It returns the number of items in an object like a list or string.,
104,Python,SanFoundry,Which of these is a mutable data type?,"a) Tuple, b) String, c) List, d) Integer",c,"Lists can be modified after creation, unlike tuples or strings.",
105,Python,SanFoundry,What is the purpose of a try-except block?,"a) Define functions, b) Handle exceptions, c) Loop data, d) Import modules",b,It catches and handles runtime errors to prevent program crashes.,
106,Python,SanFoundry,What does range(5) generate?,"a) 0 to 5, b) 1 to 5, c) 0 to 4, d) 1 to 4",c,It generates a sequence from 0 to 4 (exclusive of 5).,
107,Python,SanFoundry,Which library is used for numerical computations?,"a) Pandas, b) NumPy, c) Matplotlib, d) Requests",b,NumPy provides support for arrays and mathematical operations.,
108,Python,SanFoundry,What does import os allow?,"a) File handling, b) Math operations, c) Data plotting, d) Web scraping",a,"The os module provides functions for interacting with the operating system, like file handling.",
109,Python,SanFoundry,What is the output of print(2 ** 3)?,"a) 6, b) 8, c) 9, d) 5",b,** is the exponentiation operator; 2 ** 3 equals 8.,
110,Python,SanFoundry,Which method adds an element to a list?,"a) append(), b) add(), c) insert(), d) extend()",a,append() adds a single element to the end of a list.,
111,Python,SanFoundry,What does a lambda function do?,"a) Define a class, b) Create anonymous function, c) Loop data, d) Import modules",b,"It creates a small, unnamed function for one-time use.",
112,Python,SanFoundry,Which operator checks equality?,"a) =, b) ==, c) !=, d) is",b,== compares the values of two objects for equality.,
113,Python,SanFoundry,What is the purpose of __init__ in a class?,"a) Destructor, b) Constructor, c) Method, d) Variable",b,It initializes an object’s attributes when the object is created.,
114,Python,SanFoundry,What does pandas.DataFrame represent?,"a) 1D array, b) 2D table, c) Plot, d) File",b,It’s a 2D data structure like a table with rows and columns.,
115,Python,SanFoundry,Which keyword exits a loop?,"a) break, b) continue, c) return, d) pass",a,break terminates the loop entirely.,
116,Python,SanFoundry,What does zip() do?,"a) Compress files, b) Pair iterables, c) Sort data, d) Split strings",b,It combines elements from multiple iterables into tuples.,
117,Python,SanFoundry,"What is the output of print(""a"" in ""abc"")?","a) True, b) False, c) None, d) Error",a,"The in operator checks if ""a"" is in ""abc"", returning True.",
118,Python,SanFoundry,Which module is used for data visualization?,"a) NumPy, b) Pandas, c) Matplotlib, d) OS",c,Matplotlib creates plots and visualizations.,
119,Python,SanFoundry,What does list comprehension do?,"a) Create lists concisely, b) Define functions, c) Handle errors, d) Import data",a,It generates lists in a single line using a compact syntax.,
120,Python,SanFoundry,What is the default return value of a function?,"a) 0, b) None, c) 1, d) Error",b,A function without a return statement returns None.,
121,Python,SanFoundry,Which method removes an item from a dictionary?,"a) pop(), b) remove(), c) delete(), d) clear()",a,pop() removes a key-value pair by key and returns the value.,
122,Python,SanFoundry,What does with statement do?,"a) Loop data, b) Manage resources, c) Define classes, d) Import modules",b,It ensures resources like files are properly opened and closed.,
123,Python,SanFoundry,Which library is used for machine learning?,"a) TensorFlow, b) Requests, c) OS, d) Matplotlib",a,TensorFlow provides tools for building and training ML models.,
124,Python,SanFoundry,What does sorted() return?,"a) Original list, b) New sorted list, c) Tuple, d) Dictionary",b,It returns a new sorted list without modifying the original.,
125,Python,SanFoundry,What is a decorator in Python?,"a) Class, b) Function modifier, c) Loop, d) Variable",b,It modifies or extends the behavior of a function or method.,
126,Python,SanFoundry,What does numpy.array() create?,"a) List, b) Array, c) Dictionary, d) Tuple",b,It creates a NumPy array for efficient numerical operations.,
127,Python,SanFoundry,Which operator checks identity?,"a) ==, b) is, c) in, d) !=",b,is checks if two variables point to the same object in memory.,
128,Python,SanFoundry,What does enumerate() do?,"a) Count items, b) Pair index and value, c) Sort data, d) Split strings",b,It returns an iterator of index-value pairs from an iterable.,
129,Python,SanFoundry,What is the output of print(3 // 2)?,"a) 1, b) 1.5, c) 2, d) 0",a,"// performs floor division, returning the integer part (1).",
130,Python,SanFoundry,Which method joins list elements into a string?,"a) join(), b) append(), c) split(), d) extend()",a,join() combines list elements with a separator into a single string.,
131,Databases,SanFoundry,What does SQL stand for?,"a) Simple Query Language, b) Structured Query Language, c) System Query Logic, d) None",b,It’s a language for managing and querying relational databases.,
132,Databases,SanFoundry,Which command retrieves data from a table?,"a) INSERT, b) SELECT, c) UPDATE, d) DELETE",b,SELECT fetches data based on specified conditions.,
133,Databases,SanFoundry,What is a primary key?,"a) Duplicate field, b) Unique identifier, c) Foreign key, d) Index",b,It uniquely identifies each record in a table.,
134,Databases,SanFoundry,Which clause filters rows in SQL?,"a) GROUP BY, b) ORDER BY, c) WHERE, d) HAVING",c,WHERE specifies conditions to filter rows in a query.,
135,Databases,SanFoundry,What does JOIN combine?,"a) Tables, b) Columns, c) Rows, d) Databases",a,It merges data from multiple tables based on a related column.,
136,Databases,SanFoundry,What is normalization in databases?,"a) Increase redundancy, b) Reduce redundancy, c) Speed up queries, d) Add indexes",b,It organizes data to eliminate redundancy and improve integrity.,
137,Databases,SanFoundry,Which type of join returns all rows from both tables?,"a) INNER JOIN, b) LEFT JOIN, c) RIGHT JOIN, d) FULL JOIN",d,"FULL JOIN includes all rows, with NULLs where there’s no match.",
138,Databases,SanFoundry,What does an index improve?,"a) Data size, b) Query speed, c) Redundancy, d) Table size",b,It speeds up data retrieval by providing quick access to rows.,
139,Databases,SanFoundry,Which command adds data to a table?,"a) SELECT, b) INSERT, c) UPDATE, d) DELETE",b,INSERT adds new records to a table.,
140,Databases,SanFoundry,What is a foreign key?,"a) Unique key, b) Reference to another table, c) Index, d) Primary key",b,It links a column in one table to the primary key of another table.,
141,Data Structures,SanFoundry,What is the time complexity of binary search?,"a) O(n), b) O(log n), c) O(n²), d) O(1)",b,"It halves the search space each step, resulting in logarithmic time.",
142,Data Structures,SanFoundry,Which structure follows LIFO?,"a) Queue, b) Stack, c) Tree, d) Graph",b,Stack uses Last-In-First-Out order for operations.,
143,Data Structures,SanFoundry,What does a linked list consist of?,"a) Nodes, b) Arrays, c) Trees, d) Heaps",a,"It’s a chain of nodes, each containing data and a reference to the next node.",
144,Data Structures,SanFoundry,Which data structure is used for BFS?,"a) Stack, b) Queue, c) Heap, d) Array",b,Queue maintains the order of nodes to explore in Breadth-First Search.,
145,Data Structures,SanFoundry,What is the purpose of a hash table?,"a) Sorting, b) Fast lookup, c) Storing trees, d) Graph traversal",b,It provides O(1) average-time lookups using key-value pairs.,
146,Data Structures,SanFoundry,Which tree is self-balancing?,"a) Binary Tree, b) AVL Tree, c) Heap, d) Trie",b,AVL Trees maintain balance by adjusting heights after insertions/deletions.,
147,Data Structures,SanFoundry,What does a queue follow?,"a) FIFO, b) LIFO, c) Random, d) Sorted",a,Queue uses First-In-First-Out order for processing elements.,
148,Data Structures,SanFoundry,What is the space complexity of a binary tree?,"a) O(n), b) O(log n), c) O(n²), d) O(1)",a,"It stores n nodes, each with data and pointers, using linear space.",
149,Data Structures,SanFoundry,Which structure is used for priority scheduling?,"a) Stack, b) Queue, c) Heap, d) Linked List",c,"Heap (e.g., min-heap) efficiently manages elements by priority.",
150,Data Structures,SanFoundry,What is the time complexity of inserting into a hash table?,"a) O(1), b) O(n), c) O(log n), d) O(n²)",a,Average case is O(1) with a good hash function and no collisions.,
151,Data Structures,SanFoundry,Which traversal visits the root first?,"a) Inorder, b) Preorder, c) Postorder, d) Level-order",b,"Preorder visits root, then left, then right subtree.",
152,Data Structures,SanFoundry,What does a doubly linked list allow?,"a) One-way traversal, b) Two-way traversal, c) Sorting, d) Random access",b,It has pointers to both next and previous nodes for bidirectional traversal.,
153,Data Structures,SanFoundry,Which structure is used for dictionary implementation?,"a) Array, b) Hash Table, c) Stack, d) Queue",b,Hash Tables store key-value pairs for efficient lookups.,
154,Data Structures,SanFoundry,What is the height of a balanced binary tree with n nodes?,"a) O(n), b) O(log n), c) O(n²), d) O(1)",b,"A balanced tree’s height is logarithmic, ensuring efficient operations.",
155,Data Structures,SanFoundry,Which operation removes the top element of a stack?,"a) push, b) pop, c) peek, d) enqueue",b,pop removes and returns the top element in a stack.,
156,Data Structures,SanFoundry,What is a trie used for?,"a) Sorting, b) String searching, c) Graph traversal, d) Numeric storage",b,Tries store strings efficiently for prefix-based searches.,
157,Data Structures,SanFoundry,Which structure has O(1) access time?,"a) Array, b) Linked List, c) Tree, d) Queue",a,Arrays allow constant-time access via indexing.,
158,Data Structures,SanFoundry,What does a binary search tree require?,"a) Sorted order, b) Random order, c) Duplicate values, d) Fixed size",a,Nodes are arranged so left < root < right for efficient searching.,
159,Data Structures,SanFoundry,Which operation adds an element to a queue?,"a) push, b) pop, c) enqueue, d) dequeue",c,enqueue adds an element to the rear of a queue.,
160,Data Structures,SanFoundry,What is the time complexity of heapify operation?,"a) O(n), b) O(log n), c) O(n log n), d) O(1)",b,Adjusting a heap after insertion/removal takes logarithmic time per level.,
161,Algorithms,SanFoundry,What is the time complexity of bubble sort?,"a) O(n), b) O(n²), c) O(log n), d) O(n log n)",b,"It compares adjacent elements repeatedly, resulting in quadratic time.",
162,Algorithms,SanFoundry,Which algorithm finds the shortest path in a weighted graph?,"a) BFS, b) DFS, c) Dijkstra’s, d) Prim’s",c,Dijkstra’s finds the shortest path from a source to all vertices.,
163,Algorithms,SanFoundry,What does merge sort use?,"a) Greedy approach, b) Divide and conquer, c) Dynamic programming, d) Backtracking",b,"It splits the array, sorts halves, and merges them.",
